datetime,creation_time (UTC),version,avg_wind_production_forecast
2025-05-06T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61996
2025-05-06T01:00:00.000000000,2025-05-08 22:24:46,3.0,772.80511
2025-05-06T02:00:00.000000000,2025-05-08 22:24:46,3.0,748.32108
2025-05-06T03:00:00.000000000,2025-05-08 22:24:46,3.0,731.1641
2025-05-06T04:00:00.000000000,2025-05-08 22:24:46,3.0,737.69342
2025-05-06T05:00:00.000000000,2025-05-08 22:24:46,3.0,724.3986
2025-05-06T06:00:00.000000000,2025-05-08 22:24:46,3.0,690.87264
2025-05-06T07:00:00.000000000,2025-05-08 22:24:46,3.0,664.5446
2025-05-06T08:00:00.000000000,2025-05-08 22:24:46,3.0,651.48774
2025-05-06T09:00:00.000000000,2025-05-08 22:24:46,3.0,645.58277
2025-05-06T10:00:00.000000000,2025-05-08 22:24:46,3.0,604.10345
2025-05-06T11:00:00.000000000,2025-05-08 22:24:46,3.0,576.68352
2025-05-06T12:00:00.000000000,2025-05-08 22:24:46,3.0,533.98136
2025-05-06T13:00:00.000000000,2025-05-08 22:24:46,3.0,487.30338
2025-05-06T14:00:00.000000000,2025-05-08 22:24:46,3.0,465.92363
2025-05-06T15:00:00.000000000,2025-05-08 22:24:46,3.0,467.00471
2025-05-06T16:00:00.000000000,2025-05-08 22:24:46,3.0,454.0019
2025-05-06T17:00:00.000000000,2025-05-08 22:24:46,3.0,438.42277
2025-05-06T18:00:00.000000000,2025-05-08 22:24:46,3.0,418.94446
2025-05-06T19:00:00.000000000,2025-05-08 22:24:46,3.0,425.21885
2025-05-06T20:00:00.000000000,2025-05-08 22:24:46,3.0,459.42751
2025-05-06T21:00:00.000000000,2025-05-08 22:24:46,3.0,498.55243
2025-05-06T22:00:00.000000000,2025-05-08 22:24:46,3.0,533.07689
2025-05-06T23:00:00.000000000,2025-05-08 22:24:46,3.0,570.60907
2025-05-07T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61996
2025-05-07T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.66004
2025-05-07T02:00:00.000000000,2025-05-08 22:24:46,3.0,748.32108
2025-05-07T03:00:00.000000000,2025-05-08 22:24:46,3.0,731.1641
2025-05-07T04:00:00.000000000,2025-05-08 22:24:46,3.0,737.69342
2025-05-07T05:00:00.000000000,2025-05-08 22:24:46,3.0,724.3986
2025-05-07T06:00:00.000000000,2025-05-08 22:24:46,3.0,690.87264
2025-05-07T07:00:00.000000000,2025-05-08 22:24:46,3.0,664.5446
2025-05-07T08:00:00.000000000,2025-05-08 22:24:46,3.0,651.48774
2025-05-07T09:00:00.000000000,2025-05-08 22:24:46,3.0,645.58277
2025-05-07T10:00:00.000000000,2025-05-08 22:24:46,3.0,604.10345
2025-05-07T11:00:00.000000000,2025-05-08 22:24:46,3.0,576.68352
2025-05-07T12:00:00.000000000,2025-05-08 22:24:46,3.0,533.98136
2025-05-07T13:00:00.000000000,2025-05-08 22:24:46,3.0,487.30338
2025-05-07T14:00:00.000000000,2025-05-08 22:24:46,3.0,465.92363
2025-05-07T15:00:00.000000000,2025-05-08 22:24:46,3.0,467.00471
2025-05-07T16:00:00.000000000,2025-05-08 22:24:46,3.0,454.0019
2025-05-07T17:00:00.000000000,2025-05-08 22:24:46,3.0,438.42277
2025-05-07T18:00:00.000000000,2025-05-08 22:24:46,3.0,418.94446
2025-05-07T19:00:00.000000000,2025-05-08 22:24:46,3.0,425.21885
2025-05-07T20:00:00.000000000,2025-05-08 22:24:46,3.0,459.42751
2025-05-07T21:00:00.000000000,2025-05-08 22:24:46,3.0,498.55243
2025-05-07T22:00:00.000000000,2025-05-08 22:24:46,3.0,533.07689
2025-05-07T23:00:00.000000000,2025-05-08 22:24:46,3.0,570.60907
2025-05-08T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61996
2025-05-08T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.66004
2025-05-08T02:00:00.000000000,2025-05-08 22:24:46,3.0,2903.99999
2025-05-08T03:00:00.000000000,2025-05-08 22:24:46,3.0,731.1641
2025-05-08T04:00:00.000000000,2025-05-08 22:24:46,3.0,737.69342
2025-05-08T05:00:00.000000000,2025-05-08 22:24:46,3.0,724.3986
2025-05-08T06:00:00.000000000,2025-05-08 22:24:46,3.0,690.87264
2025-05-08T07:00:00.000000000,2025-05-08 22:24:46,3.0,664.5446
2025-05-08T08:00:00.000000000,2025-05-08 22:24:46,3.0,651.48774
2025-05-08T09:00:00.000000000,2025-05-08 22:24:46,3.0,645.58277
2025-05-08T10:00:00.000000000,2025-05-08 22:24:46,3.0,604.10345
2025-05-08T11:00:00.000000000,2025-05-08 22:24:46,3.0,576.68352
2025-05-08T12:00:00.000000000,2025-05-08 22:24:46,3.0,533.98136
2025-05-08T13:00:00.000000000,2025-05-08 22:24:46,3.0,487.30338
2025-05-08T14:00:00.000000000,2025-05-08 22:24:46,3.0,465.92363
2025-05-08T15:00:00.000000000,2025-05-08 22:24:46,3.0,467.00471
2025-05-08T16:00:00.000000000,2025-05-08 22:24:46,3.0,454.0019
2025-05-08T17:00:00.000000000,2025-05-08 22:24:46,3.0,438.42277
2025-05-08T18:00:00.000000000,2025-05-08 22:24:46,3.0,418.94446
2025-05-08T19:00:00.000000000,2025-05-08 22:24:46,3.0,425.21885
2025-05-08T20:00:00.000000000,2025-05-08 22:24:46,3.0,459.42751
2025-05-08T21:00:00.000000000,2025-05-08 22:24:46,3.0,498.55243
2025-05-08T22:00:00.000000000,2025-05-08 22:24:46,3.0,533.07689
2025-05-08T23:00:00.000000000,2025-05-08 22:24:46,3.0,570.60907
2025-05-09T00:00:00.000000000,2025-05-08 22:24:46,3.0,2891.61996
2025-05-09T01:00:00.000000000,2025-05-08 22:24:46,3.0,2958.66004
2025-05-09T02:00:00.000000000,2025-05-08 22:24:46,3.0,2903.99999
2025-05-09T03:00:00.000000000,2025-05-08 22:24:46,3.0,2989.72996
2025-05-09T04:00:00.000000000,2025-05-08 22:24:46,3.0,737.69342
2025-05-09T05:00:00.000000000,2025-05-08 22:24:46,3.0,724.3986
2025-05-09T06:00:00.000000000,2025-05-08 22:24:46,3.0,690.87264
2025-05-09T07:00:00.000000000,2025-05-08 22:24:46,3.0,664.5446
2025-05-09T08:00:00.000000000,2025-05-08 22:24:46,3.0,651.48774
2025-05-09T09:00:00.000000000,2025-05-08 22:24:46,3.0,645.58277
2025-05-09T10:00:00.000000000,2025-05-08 22:24:46,3.0,604.10345
2025-05-09T11:00:00.000000000,2025-05-08 22:24:46,3.0,576.68352
2025-05-09T12:00:00.000000000,2025-05-08 22:24:46,3.0,533.98136
2025-05-09T13:00:00.000000000,2025-05-08 22:24:46,3.0,487.30338
2025-05-09T14:00:00.000000000,2025-05-08 22:24:46,3.0,465.92363
2025-05-09T15:00:00.000000000,2025-05-08 22:24:46,3.0,467.00471
2025-05-09T16:00:00.000000000,2025-05-08 22:24:46,3.0,454.0019
2025-05-09T17:00:00.000000000,2025-05-08 22:24:46,3.0,438.42277
2025-05-09T18:00:00.000000000,2025-05-08 22:24:46,3.0,418.94446
2025-05-09T19:00:00.000000000,2025-05-08 22:24:46,3.0,425.21885
2025-05-09T20:00:00.000000000,2025-05-08 22:24:46,3.0,459.42751
2025-05-09T21:00:00.000000000,2025-05-08 22:24:46,3.0,498.55243
2025-05-09T22:00:00.000000000,2025-05-08 22:24:46,3.0,533.07689
2025-05-09T23:00:00.000000000,2025-05-08 22:24:46,3.0,570.60907
